main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[IKO2018] HFF5C-3822-2382,342.159275,-44.543958,G,6.281,E,2018ApJ...862..156L
[WEC2019] 7,342.2292916666667,-44.55565555555556,G,0.332,D,2019ApJ...877....7W
[WEC2019] 33,342.1327958333333,-44.53235555555556,G,0.746,D,2019ApJ...877....7W
[WEC2019] 37,342.1999791666667,-44.48341111111111,G,0.974,E,2019ApJ...877....7W
[BHF2019] RXCJ2248    464,342.189375,-44.546041666666675,G,1.285,D,2019ApJ...877....7W
[IKO2018] HFF5C-3913-2297,342.163049,-44.541595,G,6.18,E,2018ApJ...854...73I
[IKO2018] HFF5C-4493-2466,342.187221,-44.546282,G,5.58,E,2018ApJ...854...73I
[IKO2018] HFF5C-3977-0487,342.165711,-44.51354,G,5.41,E,2018ApJ...854...73I
[IKO2018] HFF5C-3960-0509,342.165033,-44.514157,G,5.66,E,2018ApJ...854...73I
[KCG2015] 2,342.1769,-44.534098,GiC,0.3342,D,2012AJ....144...79G
[GVR2012] 1199,342.181683,-44.511773,GiC,0.5341,D,2012AJ....144...79G
[KCC2017] NE-19,342.1796,-44.52307,G,0.339,D,2017A&A...599A..28K
[KIS2018] AS1063 70.3,342.195692,-44.53743000000001,LeI,3.713,C,2018ApJ...855....4K
[GVR2012] 1364,342.180169,-44.513492,GiC,0.3512,D,2012AJ....144...79G
CLASH RXJ2248-4431  847,342.18904166666664,-44.53001666666667,LeG,6.11,C,2018ApJ...855....4K
ACO S 1063,342.18899999999996,-44.528200000000005,ClG,0.351,D,2015ApJS..216...27B
CLASH RXJ2248-4431  979,342.1893685,-44.5309358,LeG,5.9,E,2014ApJ...792...76B
[MSG2014] 1b,342.1945,-44.52699722222222,LeG,1.228,C,2018ApJ...855....4K
[JSB2014] AS1063 2.2,342.19211,-44.529833,LeI,1.259,C,2018ApJ...855....4K
[MSG2014] 13b,342.19332,-44.529418,LeG,1.258,C,2018ApJ...855....4K
[MSG2014] 8b,342.17422,-44.537109,LeG,1.837,C,2018ApJ...855....4K
[MSG2014] 20b,342.17883333333333,-44.53587777777777,LeG,3.118,C,2018ApJ...855....4K
[MSG2014] 15b,342.19170833333334,-44.53053333333333,LeG,3.06,C,2018ApJ...855....4K
[KIS2018] AS1063 15.3,342.173685,-44.519391,LeG,3.06,C,2018ApJ...855....4K
[KCC2017] NE-67,342.184023,-44.526927,GiC,0.3504,D,2017A&A...599A..28K
[KCG2015] 24,342.16825833333337,-44.53658055555555,G,0.349,D,2015A&A...574A..11K
[KCG2015] 14,342.17446666666666,-44.52899166666666,G,0.346,D,2015A&A...574A..11K
[KCC2017] NE-14,342.19366,-44.5185,G,0.3378,D,2017A&A...599A..28K
[KCG2015] 55,342.16908750000005,-44.5404,G,0.3494,D,2017A&A...599A..28K
[GVR2012] 575,342.1887291666667,-44.54028888888889,G,0.3477,D,2012AJ....144...79G
[GVR2012] 67,342.2385291666667,-44.54394722222223,G,0.3383,D,2012AJ....144...79G
[KCC2017] NE-40,342.20125,-44.52404,G,0.3453,D,2017A&A...599A..28K
[MSG2014] 5a,342.19294,-44.53659,LeG,1.37,E,2014MNRAS.438.1417M
[KCC2017] NE-78,342.186748,-44.527819,GiC,0.355,D,2017A&A...599A..28K
