main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[MAC2016] A2744cl   2378,3.590506,-30.380627,G,2.0982,E,2016A&A...590A..30M
[MAC2016] A2744cl   2486,3.589797,-30.378412,G,0.33,D,2017ApJ...835..254M
[MAC2016] A2744cl   2377,3.588575,-30.380444,G,0.37,D,2017ApJ...835..254M
[BIO2017] A2744I-4217722464,3.590732,-30.379581,LeG,5.733,E,2016A&A...590A..30M
[MAC2016] A2744cl   2267,3.586863,-30.382277,G,3.2665,E,2016A&A...590A..30M
[MAC2016] A2744cl   2329,3.589183,-30.381296,G,2.3415,E,2016A&A...590A..30M
[MAC2016] A2744cl   2371,3.590609,-30.380686,G,0.02,E,2016A&A...590A..30M
[MAC2016] A2744cl   2379,3.586716,-30.380619,G,2.14,E,2016A&A...590A..30M
[MAC2016] A2744cl   2415,3.587514,-30.380051,G,4.157,E,2016A&A...590A..30M
[MAC2016] A2744cl  23123,3.589063,-30.381521,G,0.3035,E,2016A&A...590A..30M
[ARK2015] 6670,3.5867218,-30.381426,G,1.3697,E,2016A&A...590A..30M
[MAC2016] A2744cl  23253,3.590798,-30.38007,G,5.17,E,2016A&A...590A..30M
[MAC2016] A2744cl   2312,3.589838,-30.38135,G,0.9524,E,2016A&A...590A..30M
[MAC2016] A2744cl   2336,3.58933,-30.380951,G,0.255,E,2016A&A...590A..30M
[MAC2016] A2744cl   2429,3.589136,-30.379749,G,1.365,E,2016A&A...590A..30M
[MAC2016] A2744cl  23173,3.587628,-30.380857,G,1.8295,E,2016A&A...590A..30M
[BAE96] AC 118 164,3.587333333333333,-30.371277777777784,GiC,0.3037568076512452,C,2011ApJ...728...27O
[ORN2011] 003.580708-30.371222,3.580708333333333,-30.37122222222222,G,0.2389653177999561,C,2011ApJ...728...27O
[BAG2023] 816,3.587541666666666,-30.373972222222225,G,0.2962616224321427,C,2011ApJ...728...27O
[BML2002] 1033,3.5842458333333336,-30.36479444444445,G,0.3,E,2017A&A...606A.122F
[BML2002] 1021,3.585125,-30.36230555555555,G,0.3031964199713123,C,2011ApJ...728...27O
