main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[MAT2017] MACS1149CLS 2195,177.3961022,22.402757,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2686,177.4025048,22.3985994,G,0.63,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2624,177.4144908,22.3988667,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2075,177.3963683,22.4058276,G,0.55,D,2017ApJ...835..254M
CLASHVLT J114934.91+222414.6,177.3955,22.404047,G,0.5132,C,2024A&A...689A..42S
[MAT2017] MACS1149CLS 2053,177.4091639,22.4021515,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2052,177.4090645,22.4024028,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2580,177.4037597,22.3995652,G,0.55,D,2017ApJ...835..254M
CLASHVLT J114934.57+222430.4,177.39413,22.40844,AGN,0.54,D,2017ApJ...835..254M
[GKS2016] c263,177.4105284,22.4078562,G,0.55,D,2017ApJ...835..254M
[GKS2016] 55,177.3979795,22.4045758,G,0.57,D,2017ApJ...835..254M
[GKS2016] c164,177.3986029,22.4071688,G,0.54,D,2017ApJ...835..254M
CLASHVLT J114935.63+222419.3,177.398457,22.405359,G,0.5382,C,2024A&A...689A..42S
CLASHVLT J114935.50+222414.2,177.397919,22.403936,G,0.55,D,2017ApJ...835..254M
CLASHVLT J114935.43+222410.4,177.39762083333332,22.402877777777775,G,0.5517,C,2024A&A...689A..42S
CLASHVLT J114935.29+222427.3,177.397047,22.407593,G,0.56,D,2017ApJ...835..254M
[GKS2016] c174,177.3994975,22.412279,G,0.54,D,2017ApJ...835..254M
[GKS2016] 68,177.3995912,22.4023066,G,0.54,D,2017ApJ...835..254M
[GKS2016] c191,177.4013918,22.4109832,G,0.66,D,2017ApJ...835..254M
[GKS2016] c193,177.4016511,22.4094725,G,0.55,D,2017ApJ...835..254M
[GKS2016] c198,177.4022688,22.4112532,G,0.55,D,2017ApJ...835..254M
[GKS2016] c228,177.4049652,22.4108668,G,0.55,D,2017ApJ...835..254M
[GKS2016] c229,177.4051323,22.3980678,G,0.54,D,2017ApJ...835..254M
[GKS2016] c233,177.4059956,22.4088873,G,0.55,D,2017ApJ...835..254M
[GKS2016] c237,177.4062933,22.4065608,G,0.69,D,2017ApJ...835..254M
[ZFM2015] M1149 2.3,177.40127,22.40718,LeI,0.19,E,2015ApJ...801...44Z
CLASHVLT J114934.27+222411.5,177.39276,22.403168,LeI,2.497,D,2014MNRAS.444..268R
[MAC2016] M1149cl   2619,177.403015,22.409502,LeG,5.79,E,2022MNRAS.514.1148Y
CLASHVLT J114935.34+222422.3,177.39721,22.40619,LeG,1.68,C,2019ApJ...880...54H
[MAC2016] M1149cl   2316,177.407684,22.405251,LeG,7.93,E,2022MNRAS.514.1148Y
[IKO2018] HFF4C-3791-4415,177.407983,22.411538,LeG,6.477,E,2018ApJ...862..156L
[IKO2018] HFF4C-3595-4157,177.399818,22.404384,G,0.31,E,2018ApJ...854...73I
[BIO2017] M1149I-9381523563,177.40897499999997,22.39898333333333,LeG,5.796,E,2018ApJ...862..156L
[BIO2017] M1149I-9357224104,177.39883749999998,22.40289722222222,LeG,6.03,E,2017ApJ...843...41B
[BIO2017] M1149I-9352124168,177.3967125,22.40467222222222,LeG,6.236,E,2018ApJ...862..156L
