chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
63   103b 4.115   1     14.64    0.00    0.00    0.00   0.396    0.00    0.06    0.39  1
63   103a 4.115   1     11.63    0.00    0.00    0.00   0.353    0.00   -0.12   -0.33  1
63    103 4.115   3     27.00    0.00    0.00    0.00   0.310    0.00    N/A     N/A   3
64   106c 4.116   1     15.98    0.00    0.00    0.00   0.338    0.00   -0.14    0.31  1
64   106b 4.116   1     45.95    0.00    0.00    0.00   0.574    0.00    0.36   -0.45  1
64   106a 4.116   1      9.47    0.00    0.00    0.00   0.260    0.00   -0.22    0.14  1
64    106 4.116   3     71.40    0.00    0.00    0.00   0.413    0.00    N/A     N/A   3
65    31c 4.122   1      4.86    0.00    0.00    0.00   0.247    0.00    0.08    0.23  1
65    31b 4.122   1     52.26    0.00    0.00    0.00   0.809    0.00   -0.04   -0.81  1
65    31a 4.122   1     26.35    0.00    0.00    0.00   0.575    0.00   -0.04    0.57  1
65     31 4.122   3     83.47    0.00    0.00    0.00   0.591    0.00    N/A     N/A   3
66   110b 4.298   1     10.00    0.00    0.00    0.00   0.238    0.00    0.20    0.13  1
66   110a 4.298   1     10.00    0.00    0.00    0.00   0.238    0.00   -0.20   -0.13  1
66    110 4.298   2     20.00    0.00    0.00    0.00   0.238    0.00    N/A     N/A   2
67   101c 4.299   1     20.58    0.00    0.00    0.00   0.431    0.00    0.43   -0.03  1
67   101b 4.299   1      8.54    0.00    0.00    0.00   0.278    0.00   -0.27   -0.06  1
67   101a 4.299   1      3.54    0.00    0.00    0.00   0.179    0.00   -0.16    0.08  1
67    101 4.299   3     32.66    0.00    0.00    0.00   0.314    0.00    N/A     N/A   3
68   207c 4.502   1      4.72    0.00    0.00    0.00   0.247    0.00   -0.07    0.24  1
68   207b 4.502   1      8.00    0.00    0.00    0.00   0.322    0.00   -0.09   -0.31  1
68   207a 4.502   1      2.31    0.00    0.00    0.00   0.173    0.00    0.16    0.07  1
68    207 4.502   3     15.03    0.00    0.00    0.00   0.255    0.00    N/A     N/A   3
69   208c 4.530   1     15.32    0.00    0.00    0.00   0.346    0.00    0.34   -0.08  1
69   208b 4.530   1     15.32    0.00    0.00    0.00   0.346    0.00   -0.34    0.08  1
69    208 4.530   2     30.65    0.00    0.00    0.00   0.346    0.00    N/A     N/A   2
70   108c 4.607   1      3.22    0.00    0.00    0.00   0.202    0.00   -0.11    0.17  1
70   108b 4.607   1      2.31    0.00    0.00    0.00   0.171    0.00    0.09   -0.15  1
70   108a 4.607   1      0.08    0.00    0.00    0.00   0.032    0.00    0.02   -0.02  1
